_id,ov,intention,user,createdAt
5ff84f604bd6cf0f14a53e90,6642316,Buscar pedido,KLJS00139179,2021-01-08T12:26:08.509Z
5ff850974bd6cf0f14a53e91,6615441,Buscar pedido,klis00135120,2021-01-08T12:31:19.235Z
5ff8513d4bd6cf0f14a53e92,6599891,Buscar pedido,fst_gfa_exp,2021-01-08T12:34:05.511Z
5ff8514a4bd6cf0f14a53e93,6615441,Buscar pedido,klis00135120,2021-01-08T12:34:18.815Z
5ff851ca4bd6cf0f14a53e94,6642673,Buscar pedido,klms00138386,2021-01-08T12:36:26.903Z
5ff852224bd6cf0f14a53e95,6629952,Buscar pedido,klms00138386,2021-01-08T12:37:54.537Z
5ff852474bd6cf0f14a53e96,6629524,Buscar pedido,klms00138386,2021-01-08T12:38:31.497Z
5ff852c04bd6cf0f14a53e97,6642377,Buscar pedido,KLGA00139224,2021-01-08T12:40:32.884Z
5ff852c84bd6cf0f14a53e98,6543811,Buscar pedido,ju1_gfa_exp,2021-01-08T12:40:40.143Z
5ff852d84bd6cf0f14a53e99,6543811,Buscar pedido,ju1_gfa_exp,2021-01-08T12:40:56.714Z
5ff853204bd6cf0f14a53e9a,6629524,Buscar pedido,klms00138386,2021-01-08T12:42:08.063Z
5ff8540a4bd6cf0f14a53e9b,6601659,Buscar pedido,klis00135120,2021-01-08T12:46:02.416Z
5ff854844bd6cf0f14a53e9c,6548025,Buscar pedido,klis00135120,2021-01-08T12:48:04.079Z
5ff854c64bd6cf0f14a53e9d,6548025,Buscar pedido,klis00135120,2021-01-08T12:49:10.347Z
5ff855204bd6cf0f14a53e9e,6641016,Buscar pedido,KLJS00139179,2021-01-08T12:50:40.450Z
5ff855874bd6cf0f14a53e9f,6641016,Buscar pedido,KLJS00139179,2021-01-08T12:52:23.173Z
5ff855d24bd6cf0f14a53ea0,0056595,Buscar pedido,KLCM00135455,2021-01-08T12:53:38.772Z
5ff855f94bd6cf0f14a53ea1,56595901,Buscar pedido,KLCM00135455,2021-01-08T12:54:17.766Z
5ff8561e4bd6cf0f14a53ea2,6634278,Buscar pedido,KLJS00139179,2021-01-08T12:54:54.367Z
5ff856354bd6cf0f14a53ea3,6641531,Buscar pedido,GO1_GFA_EXP,2021-01-08T12:55:17.737Z
5ff856fd4bd6cf0f14a53ea4,6634278,Buscar pedido,KLJS00139179,2021-01-08T12:58:37.652Z
5ff857094bd6cf0f14a53ea5,6615744,Buscar pedido,klis00135120,2021-01-08T12:58:49.922Z
5ff857774bd6cf0f14a53ea6,6569728,Buscar pedido,ju1_gfa_exp,2021-01-08T13:00:39.910Z
5ff857b14bd6cf0f14a53ea7,6569728,Buscar pedido,rcandrade,2021-01-08T13:01:37.878Z
5ff857ba4bd6cf0f14a53ea8,6590659,Buscar pedido,klis00135120,2021-01-08T13:01:46.921Z
5ff857bb4bd6cf0f14a53ea9,6643763,Buscar pedido,KLCS00138026,2021-01-08T13:01:47.625Z
5ff858154bd6cf0f14a53eaa,6634668,Buscar pedido,KLJS00139179,2021-01-08T13:03:17.916Z
5ff858404bd6cf0f14a53eab,6630583,Buscar pedido,KLAA00138167,2021-01-08T13:04:00.776Z
5ff858734bd6cf0f14a53eac,6634668,Buscar pedido,KLJS00139179,2021-01-08T13:04:51.148Z
5ff859214bd6cf0f14a53ead,6592058,Buscar pedido,jmklein,2021-01-08T13:07:45.253Z
5ff859444bd6cf0f14a53eae,6626779,Buscar pedido,KLGA00139224,2021-01-08T13:08:20.926Z
5ff85d244bd6cf0f14a53eaf,6610993,Buscar pedido,KLJF00130646,2021-01-08T13:24:52.195Z
5ff85de44bd6cf0f14a53eb0,6639613,Buscar pedido,KLFC00139019,2021-01-08T13:28:04.187Z
5ff85e424bd6cf0f14a53eb1,5659954,Buscar pedido,KLLF00135518,2021-01-08T13:29:38.660Z
5ff85e654bd6cf0f14a53eb2,56599546,Buscar pedido,KLLF00135518,2021-01-08T13:30:13.570Z
5ff85f0c4bd6cf0f14a53eb3,6592522,Buscar pedido,sromano,2021-01-08T13:33:00.869Z
5ff862354bd6cf0f14a53eb4,1328433,Buscar pedido,KLDS00137961,2021-01-08T13:46:29.840Z
5ff862a54bd6cf0f14a53eb5,6640000,Buscar pedido,KLJS00139682,2021-01-08T13:48:21.020Z
5ff864314bd6cf0f14a53eb6,6619589,Buscar pedido,KLGM00129649,2021-01-08T13:54:57.954Z
5ff865e14bd6cf0f14a53eb7,6642710,Buscar pedido,KLJS00139682,2021-01-08T14:02:09.733Z
5ff8660b4bd6cf0f14a53eb8,6643158,Buscar pedido,KLJS00139682,2021-01-08T14:02:51.955Z
5ff8664c4bd6cf0f14a53eb9,6642170,Buscar pedido,KLJS00139682,2021-01-08T14:03:56.525Z
5ff866754bd6cf0f14a53eba,6635667,Buscar pedido,KLJS00139682,2021-01-08T14:04:37.657Z
5ff866954bd6cf0f14a53ebb,6635667,Buscar pedido,KLJS00139682,2021-01-08T14:05:09.609Z
5ff8669c4bd6cf0f14a53ebc,6634700,Buscar pedido,KLJS00139682,2021-01-08T14:05:16.837Z
5ff866cd4bd6cf0f14a53ebd,6612637,Buscar pedido,KLJS00139682,2021-01-08T14:06:05.834Z
5ff866da4bd6cf0f14a53ebe,6643170,Buscar pedido,KLJS00139682,2021-01-08T14:06:18.846Z
5ff8694d4bd6cf0f14a53ebf,6644540,Buscar pedido,KLGA00139224,2021-01-08T14:16:45.767Z
5ff86bfc4bd6cf0f14a53ec0,6629625,Buscar pedido,KLFC00139019,2021-01-08T14:28:12.973Z
5ff870f84bd6cf0f14a53ec1,6608594,Buscar pedido,jmklein,2021-01-08T14:49:28.314Z
5ff871c84bd6cf0f14a53ec2,6608594,Buscar pedido,jmklein,2021-01-08T14:52:56.648Z
5ff8730a4bd6cf0f14a53ec3,6627207,Buscar pedido,KLRR00138161,2021-01-08T14:58:18.445Z
5ff8739e4bd6cf0f14a53ec4,6643358,Buscar pedido,cmgoldschmid,2021-01-08T15:00:46.833Z
5ff874624bd6cf0f14a53ec5,6642671,Buscar pedido,KLPB00138296,2021-01-08T15:04:02.197Z
5ff875be4bd6cf0f14a53ec6,6641203,Buscar pedido,cmgoldschmid,2021-01-08T15:09:50.541Z
5ff878474bd6cf0f14a53ec7,6634309,Buscar pedido,KLJS00138684,2021-01-08T15:20:39.668Z
5ff87d6d4bd6cf0f14a53ec8,6588320,Buscar pedido,KLBS00129867,2021-01-08T15:42:37.823Z
5ff87de74bd6cf0f14a53ec9,6588320,Buscar pedido,KLBS00129867,2021-01-08T15:44:39.240Z
5ff880034bd6cf0f14a53eca,6643853,Buscar pedido,pmtcruz,2021-01-08T15:53:39.465Z
5ff880594bd6cf0f14a53ecb,6643853,Buscar pedido,pmtcruz,2021-01-08T15:55:05.778Z
5ff880844bd6cf0f14a53ecc,6640156,Buscar pedido,KLJS00139682,2021-01-08T15:55:48.819Z
5ff8810f4bd6cf0f14a53ecd,6643669,Buscar pedido,KLAA00138167,2021-01-08T15:58:07.809Z
5ff8824c4bd6cf0f14a53ece,6644487,Buscar pedido,KLNR00139106,2021-01-08T16:03:24.498Z
5ff8831b4bd6cf0f14a53ecf,6640015,Buscar pedido,KLJS00139682,2021-01-08T16:06:51.915Z
5ff883474bd6cf0f14a53ed0,6634299,Buscar pedido,KLJR00137963,2021-01-08T16:07:35.788Z
5ff883484bd6cf0f14a53ed1,6640084,Buscar pedido,KLJS00139682,2021-01-08T16:07:36.879Z
5ff883974bd6cf0f14a53ed2,6642685,Buscar pedido,KLJS00139682,2021-01-08T16:08:55.522Z
5ff883b94bd6cf0f14a53ed3,6642692,Buscar pedido,KLJS00139682,2021-01-08T16:09:29.642Z
5ff883c74bd6cf0f14a53ed4,6642698,Buscar pedido,KLJS00139682,2021-01-08T16:09:43.682Z
5ff883cf4bd6cf0f14a53ed5,6642708,Buscar pedido,KLJS00139682,2021-01-08T16:09:51.744Z
5ff883d94bd6cf0f14a53ed6,6643142,Buscar pedido,KLJS00139682,2021-01-08T16:10:01.728Z
5ff883e24bd6cf0f14a53ed7,6642691,Buscar pedido,KLJS00139682,2021-01-08T16:10:10.906Z
5ff885794bd6cf0f14a53ed8,6642708,Buscar pedido,KLJS00139682,2021-01-08T16:16:57.503Z
5ff888ab4bd6cf0f14a53ed9,6644622,Buscar pedido,KLGA00139224,2021-01-08T16:30:35.356Z
5ff888b14bd6cf0f14a53eda,6644622,Buscar pedido,KLGA00139224,2021-01-08T16:30:41.951Z
